TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
MSCI Japan EUR Hedged (Acc),ISHARES MSCI JAPAN EUR HEDGED,Asian Pacific,A1C5E6,IE00B42Z5J44,270423
MSCI China A,ISHARES MSCI CHINA A UCITS ETF,Asian Pacific,A12DPT,IE00BQT3WG13,73817
MSCI EM Asia,CS ETF(IE)ON MSCI EM ASIA,Asian Pacific,A1C1H5,IE00B5L8K969,47609
Nikkei 225 ®,ISHARES NIK225,Asian Pacific,A0H08D,DE000A0H08D2,48737
China Large Cap,I-SHAR CHINA LARGE CAP,Asian Pacific,A0DK6Z,IE00B02KXK85,251439
Dow Jones China Offshore 50,ETF DJ CHINA OFF,Asian Pacific,A0F5UE,DE000A0F5UE8,49544
Asia Property Yield,ISHARES ASIA PROPERTY YIELD UCIT,Asian Pacific,A0LEQL,IE00B1FZS244,257181
MSCI Pacific ex-Japan,ISHARES MSCI PACIFIC EX-JAPAN,Asian Pacific,A0RL8Z,IE00B4WXJD03,262360
MSCI Japan CHF Hedged (Acc),ISHARES MSCI JAPAN CHF,Asian Pacific,A1J78Y,IE00B8J37J31,174357
Dow Jones Asia Pacific Select Dividend 30,ETF DJ ASIA PAC,Asian Pacific,A0H074,DE000A0H0744,44072
MSCI Korea USD (Dist),I-SHAR MSCI KOREA,Asian Pacific,A0HGWD,IE00B0M63391,251448
Nikkei 225,CS ETF(IE)ON NIKKEI 225,Asian Pacific,A0YEDQ,IE00B52MJD48,54395
Core MSCI Pacific ex-Japan,CS ETF(IE)ON MSCI P.EX JP,Asian Pacific,A0YEDR,IE00B52MJY50,49820
MSCI Australia,ISHARES MSCI AUSTRALIA,Asian Pacific,A0YJ80,IE00B5377D42,51671
MSCI Korea USD (Acc),CS ETF(IE)ON MSCI KOREA,Asian Pacific,A1C1H3,IE00B5W4TY14,59627
Emerging Asia Local Govt Bond,ISHARES EMERGING ASIA GOV.,Asian Pacific,A1JTNB,IE00B6QGFW01,262339
MSCI Japan USD Hedged (Acc),ISHARES MSCI JAPAN USD,Asian Pacific,A1W2ES,IE00BCLWRG39,104247
MSCI Japan USD (Dist),I-SHAR MSCI JAPAN,Asian Pacific,A0DK60,IE00B02KXH56,251442
MSCI Taiwan,I-SHAR MSCI TAIWAN,Asian Pacific,A0HGWE,IE00B0M63623,251454
MSCI AC Far East ex-Japan,I-SHAR MSCI FAR EAST EX-JAPAN,Asian Pacific,A0HGV9,IE00B0M63730,251445
Asia Pacific Dividend,I-SHAR ASIA PACIFIC DIVIDEND,Asian Pacific,A0J203,IE00B14X4T88,251451
MSCI AC Far East ex-Japan Small Cap,ISHARES MSCI AC FAR EAST EX-JAPA,Asian Pacific,A0Q1YZ,IE00B2QWDR12,257178
MSCI Japan Small Cap,ISHARES MSCI JAPAN SMALL CAP,Asian Pacific,A0Q1YX,IE00B2QWDY88,48485
Core MSCI Japan IMI,ISHARES CORE MSCI JAPAN,Asian Pacific,A0RPWL,IE00B4L5YX21,262357
MSCI Japan USD (Acc),CS ETF(IE)ON MSCI JAPAN,Asian Pacific,A0YEDV,IE00B53QDK08,58199
MSCI Japan SRI EUR Hedged (Acc),ISHARES MSCI JP SRI EUR-HDG,Asian Pacific,A2AFC1,IE00BYVJRQ85,270678
MSCI Japan SRI,ISHARES MSCI JAPAN,Asian Pacific,A2AUE9,IE00BYX8XC17,378443
Core DAX ®,DAXEX,Germany,593393,DE0005933931,42446
MDAX ®,MDAX EX,Germany,593392,DE0005933923,42539
TecDAX ®,TECDAX EX,Germany,593397,DE0005933972,43658
Pfandbriefe,ISHARESJUMPFANDB,Germany,263526,DE0002635265,44189
DivDAX ®,DIVDAX EX FD,Germany,263527,DE0002635273,43400
eb.rexx ® Government Germany,ISH.EB.REXX GOVERNM.GERM.,Germany,628946,DE0006289465,46667
eb.rexx ® Government Germany 1.5-2.5yr,ISH. EB.R.GOV.GER.1.5-2.5,Germany,628947,DE0006289473,50561
eb.rexx ® Government Germany 2.5-5.5yr,ISH. EB.R.GOV.GER.2.5-5.5,Germany,628948,DE0006289481,56189
eb.rexx ® Government Germany 5.5-10.5 yr,ISH. EB.R.GOV.GER.5.5-10.5,Germany,628949,DE0006289499,55220
eb.rexx ® Government Germany 10.5+ yr,ISH. EB.R.GOV.GER.10.5+,Germany,A0D8Q3,DE000A0D8Q31,50759
eb.rexx ® Money Market,ISH.EB.REXX.MON.MARK.(DE),Germany,A0Q4RZ,DE000A0Q4RZ9,48851
Germany Govt Bond,ISHARES GERMANY GOVERNMENT BOND,Germany,A1JXZG,IE00B5V94313,270321
